furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
No,Yes,,,,208 m²,2930 Brasschaat,2.0,3.0,2.0,4.0,  659 000 €  ,RBT72082,https://immovlan.be/en/detail/duplex/for-sale/2930/brasschaat/rbt72082,Excellent,,,,Yes,,,Duplex
No,Yes,Yes,,,450 m²,2460 Lichtaart,2.0,3.0,4.0,,  995 000 €  ,RBT72081,https://immovlan.be/en/detail/villa/for-sale/2460/lichtaart/rbt72081,New,,,,Yes,2341 m²,,Villa
No,,,,,72 m²,2100 Deurne,1.0,1.0,2.0,3.0,  210 000 €  ,RBT72075,https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbt72075,Excellent,,7 m²,,Yes,,Gas,Apartment
No,Yes,Yes,,,117 m²,2018 Antwerp,1.0,3.0,3.0,2.0,  490 000 €  ,RBT72057,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt72057,New,,28 m²,,Yes,,,Residence
No,Yes,Yes,,,117 m²,2018 Antwerp,1.0,3.0,3.0,2.0,  470 000 €  ,RBT72056,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt72056,New,,28 m²,,Yes,,,Residence
No,Yes,Yes,,,122 m²,2018 Antwerp,1.0,3.0,3.0,2.0,  480 000 €  ,RBT72055,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt72055,New,,28 m²,,Yes,,,Residence
No,,Yes,,,177 m²,2140 Borgerhout,1.0,4.0,2.0,,  280 000 €  ,RBT72053,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbt72053,To be renovated,,,,,,Coal,Residence
No,,,,,228 m²,2018 Antwerp,2.0,3.0,3.0,,  549 000 €  ,RBT72052,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt72052,To be renovated,,,,,84 m²,Gas,Residence
No,,Yes,,,158 m²,2920 Kalmthout,,,2.0,,  199 000 €  ,RBT72040,https://immovlan.be/en/detail/residence/for-sale/2920/kalmthout/rbt72040,To be renovated,,,,Yes,357 m²,Gas,Residence
No,,,,,105 m²,2845 Niel,1.0,2.0,,,  229 000 €  ,RBT72007,https://immovlan.be/en/detail/apartment/for-sale/2845/niel/rbt72007,Normal,,,,Yes,,Gas,Apartment
No,Yes,Yes,,,200 m²,2490 Balen,1.0,3.0,4.0,,  469 000 €  ,RBT71982,https://immovlan.be/en/detail/residence/for-sale/2490/balen/rbt71982,Normal,,,Yes,Yes,743 m²,Fuel oil,Residence
,Yes,,,,97 m²,2800 Mechelen,1.0,2.0,,,  425 000 €  ,RBT71976,https://immovlan.be/en/detail/apartment/for-sale/2800/mechelen/rbt71976,Excellent,,4 m²,,Yes,,,Apartment
,,Yes,Fully equipped,Western kitchen,151 m²,2100 Deurne,1.0,1.0,2.0,4.0,  276 000 €  ,RBT71973,https://immovlan.be/en/detail/ground-floor/for-sale/2100/deurne/rbt71973,To renovate,42 m²,,,,,Gas,Ground
No,,,Super equipped,,99 m²,2020 Antwerp,1.0,2.0,2.0,1.0,  299 900 €  ,RBT71886,https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbt71886,Fully renovated,,17 m²,No,Yes,,Gas,Apartment
,,Yes,,,104 m²,2235 Hulshout,1.0,2.0,4.0,,  149 000 €  ,RBT71880,https://immovlan.be/en/detail/chalet/for-sale/2235/hulshout/rbt71880,Normal,,,,Yes,1249 m²,Fuel oil,Chalet
,,Yes,,,210 m²,2170 Merksem,3.0,5.0,2.0,,  600 000 €  ,RBT71857,https://immovlan.be/en/detail/mixed-building/for-sale/2170/merksem/rbt71857,,100 m²,3 m²,,Yes,184 m²,Gas,Mixed
,,,,,46 m²,2100 Deurne,1.0,1.0,2.0,3.0,  195 000 €  ,RBT71856,https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbt71856,Normal,,8 m²,,Yes,,Gas,Apartment
No,,,Fully equipped,Western kitchen,33 m²,2000 Antwerp,1.0,1.0,2.0,8.0,  149 000 €  ,RBT71832,https://immovlan.be/en/detail/studio/for-sale/2000/antwerp/rbt71832,Normal,,2 m²,No,Yes,,Gas,Studio
No,Yes,Yes,,,209 m²,2235 Westmeerbeek,1.0,5.0,3.0,,  179 000 €  ,RBT71820,https://immovlan.be/en/detail/residence/for-sale/2235/westmeerbeek/rbt71820,To be renovated,,,,Yes,303 m²,Fuel oil,Residence
No,Yes,Yes,,,232 m²,2850 Boom,2.0,2.0,,,  325 000 €  ,RBT71819,https://immovlan.be/en/detail/residence/for-sale/2850/boom/rbt71819,,,,,Yes,175 m²,Gas,Residence
No,Yes,Yes,,,157 m²,2550 Kontich,1.0,4.0,,,  420 000 €  ,RBT71818,https://immovlan.be/en/detail/residence/for-sale/2550/kontich/rbt71818,,,35 m²,,Yes,,Gas,Residence
No,,Yes,,,100 m²,2660 Hoboken,1.0,2.0,,,  278 000 €  ,RBT71817,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt71817,,,15 m²,,Yes,,Gas,Residence
