furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
,Yes,Yes,,,260 m²,1410 Waterloo,3.0,3.0,4.0,,  765 000 €  ,VWD13873,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vwd13873,Excellent,3000 m²,20 m²,,Yes,,Gas,Villa
,Yes,Yes,Fully equipped,Independent,405 m²,1390 Grez-Doiceau,3.0,5.0,4.0,,  1 795 000 €  ,VWD13872,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/vwd13872,Excellent,5500 m²,60 m²,,Yes,5500 m²,Gas,Villa
,,Yes,,,,1400 Nivelles,,2.0,2.0,, Make offer from 139 000 €  ,VBC89094,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc89094,,,,,Yes,,,Residence
,,Yes,Not equipped,,345 m²,1410 Waterloo,3.0,5.0,,2.0,  1 950 000 €  ,VBC89018,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbc89018,Excellent,,,Yes,Yes,,Gas,Residence
No,Yes,Yes,Super equipped,,200 m²,1340 Ottignies-Louvain-la-Neuve,2.0,4.0,3.0,1.0,  695 000 €  ,VBC88936,https://immovlan.be/en/detail/residence/for-sale/1340/ottignies-louvain-la-neuve/vbc88936,Excellent,,100 m²,No,Yes,1020 m²,Gas,Residence
No,Yes,Yes,Super equipped,,175 m²,1300 Wavre,1.0,4.0,4.0,1.0,  579 000 €  ,VBC88905,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbc88905,Normal,550 m²,40 m²,No,Yes,635 m²,Gas,Villa
,,Yes,,,,1410 Waterloo,,4.0,,, Start price 420 000 €  ,VBC88852,https://immovlan.be/en/detail/residence/in-public-sale/1410/waterloo/vbc88852,,,,,,,,Residence
No,Yes,,Super equipped,,82 m²,1460 Ittre,1.0,2.0,2.0,2.0,  220 000 €  ,VBC88697,https://immovlan.be/en/detail/apartment/for-sale/1460/ittre/vbc88697,Normal,,5 m²,,Yes,,Electricity,Apartment
No,,,Partially equipped,,135 m²,1300 Limal,1.0,3.0,4.0,,  249 000 €  ,VBC88678,https://immovlan.be/en/detail/apartment/for-sale/1300/limal/vbc88678,To be renovated,,,,Yes,,Gas,Apartment
No,,No,Super equipped,,120 m²,1370 Jodoigne,2.0,3.0,2.0,,  225 000 €  ,VBC88777,https://immovlan.be/en/detail/residence/for-sale/1370/jodoigne/vbc88777,,,,,No,,Gas,Residence
No,Yes,Yes,Fully equipped,Western kitchen,117 m²,1330 Rixensart,1.0,2.0,4.0,2.0,  395 000 €  ,VBC88717,https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbc88717,Excellent,225 m²,,No,Yes,445 m²,Gas,Villa
No,,Yes,Super equipped,,250 m²,1330 Rixensart,2.0,4.0,2.0,,  450 000 €  ,VBC88674,https://immovlan.be/en/detail/residence/for-sale/1330/rixensart/vbc88674,,,,,Yes,329 m²,Gas,Residence
No,,Yes,Super equipped,,175 m²,1350 Orp-le-Grand,2.0,3.0,3.0,2.0,  329 800 €  ,VBC88490,https://immovlan.be/en/detail/duplex/for-sale/1350/orp-le-grand/vbc88490,New,,15 m²,No,Yes,,Gas,Duplex
No,,Yes,Super equipped,,175 m²,1350 Orp-le-Grand,2.0,3.0,3.0,2.0,  339 800 €  ,VBC88489,https://immovlan.be/en/detail/duplex/for-sale/1350/orp-le-grand/vbc88489,New,,15 m²,No,Yes,,Gas,Duplex
No,,Yes,Super equipped,,134 m²,1350 Orp-le-Grand,1.0,2.0,2.0,2.0,  334 800 €  ,VBC88487,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-le-grand/vbc88487,New,251 m²,,No,Yes,,Gas,Apartment
No,,Yes,Super equipped,,113 m²,1350 Orp-le-Grand,1.0,2.0,2.0,2.0,  299 800 €  ,VBC88486,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-le-grand/vbc88486,New,251 m²,,No,Yes,,Gas,Apartment
No,,Yes,Super equipped,,309 m²,1350 Orp-le-Grand,2.0,4.0,3.0,2.0,  474 800 €  ,VBC88485,https://immovlan.be/en/detail/residence/for-sale/1350/orp-le-grand/vbc88485,New,298 m²,,No,Yes,500 m²,Gas,Residence
,,,Super equipped,,110 m²,1420 Braine-l'Alleud,2.0,2.0,2.0,4.0,  399 400 €  ,VBC88482,https://immovlan.be/en/detail/apartment/for-sale/1420/braine-l-alleud/vbc88482,New,,53 m²,No,Yes,,Hot air,Apartment
No,Yes,,Super equipped,,99 m²,1300 Wavre,1.0,3.0,,3.0,  325 000 €  ,VBC88470,https://immovlan.be/en/detail/duplex/for-sale/1300/wavre/vbc88470,Normal,,,No,Yes,,Gas,Duplex
No,Yes,,Super equipped,,131 m²,1300 Wavre,1.0,3.0,,3.0,  360 000 €  ,VBC88468,https://immovlan.be/en/detail/duplex/for-sale/1300/wavre/vbc88468,Normal,,,,Yes,,Gas,Duplex
No,Yes,,Super equipped,,90 m²,1410 Waterloo,1.0,2.0,2.0,3.0,  375 000 €  ,VBC88415,https://immovlan.be/en/detail/apartment/for-sale/1410/waterloo/vbc88415,Excellent,,,No,Yes,,Gas,Apartment
No,Yes,Yes,,,,1300 Wavre,1.0,4.0,,,  299 000 €  ,RBT67804,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/rbt67804,Fully renovated,,,No,,154 m²,Gas,Residence
No,Yes,Yes,Super equipped,,950 m²,1420 Braine-l'Alleud,5.0,6.0,4.0,2.0,  3 900 000 €  ,VBC88310,https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vbc88310,Excellent,4000 m²,150 m²,,Yes,21593 m²,Gas,Residence
No,,,,,65 m²,1480 Tubize,1.0,1.0,2.0,4.0,  190 000 €  ,VBC88388,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc88388,New,,10 m²,,Yes,,Electricity,Apartment
No,,Yes,,,140 m²,1400 Nivelles,1.0,3.0,2.0,,  310 000 €  ,VBC88371,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc88371,,100 m²,18 m²,,Yes,223 m²,Gas,Residence
No,Yes,Yes,,,358 m²,1325 Chaumont-Gistoux,3.0,4.0,4.0,,  1 150 000 €  ,VBC88352,https://immovlan.be/en/detail/villa/for-sale/1325/chaumont-gistoux/vbc88352,Normal,,50 m²,Yes,Yes,4047 m²,Fuel oil,Villa
No,,,,,225 m²,1480 Tubize,2.0,4.0,2.0,3.0, Make offer from 495 000 €  ,VBC88336,https://immovlan.be/en/detail/mixed-building/for-sale/1480/tubize/vbc88336,Normal,,45 m²,No,Yes,177 m²,Gas,Mixed
No,Yes,Yes,Super equipped,,172 m²,1480 Tubize,1.0,3.0,4.0,, Make offer from 280 000 €  ,VBC88314,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc88314,To renovate,1100 m²,84 m²,,Yes,1245 m²,Fuel oil,Residence
No,Yes,Yes,Super equipped,,172 m²,1390 Grez-Doiceau,2.0,3.0,4.0,1.0,  549 000 €  ,VBC88174,https://immovlan.be/en/detail/residence/for-sale/1390/grez-doiceau/vbc88174,,1325 m²,,,Yes,1325 m²,Fuel oil,Residence
,,Yes,Not equipped,,148 m²,1420 Braine-l'Alleud,1.0,2.0,2.0,2.0, Make offer from 236 000 €  ,VBC88159,https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vbc88159,To be renovated,,,,Yes,164 m²,Fuel oil,Residence
,,Yes,Super equipped,,174 m²,1350 Orp-Jauche,1.0,3.0,3.0,1.0,  456 500 €  ,VBC87938,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbc87938,New,640 m²,,No,,640 m²,Hot air,Residence
No,,Yes,Fully equipped,Western kitchen,125 m²,1331 Rosières,1.0,3.0,4.0,,"
 435 000 €
                            
",VBC87880,https://immovlan.be/en/detail/bungalow/for-sale/1331/rosieres/vbc87880,Normal,,,No,,614 m²,Gas,Bungalow
,Yes,Yes,Super equipped,,200 m²,1421 Ophain-Bois-Seigneur-Isaac,2.0,4.0,3.0,2.0,  649 000 €  ,VBC87794,https://immovlan.be/en/detail/residence/for-sale/1421/ophain-bois-seigneur-isaac/vbc87794,Excellent,550 m²,50 m²,Yes,Yes,744 m²,Gas,Residence
,Yes,Yes,Super equipped,,200 m²,1420 Braine-l'Alleud,2.0,4.0,3.0,2.0,  649 000 €  ,VBC87793,https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vbc87793,Excellent,550 m²,50 m²,Yes,Yes,744 m²,Gas,Residence
No,Yes,,Super equipped,,115 m²,1400 Nivelles,2.0,2.0,3.0,2.0,  295 000 €  ,VBC87757,https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbc87757,Normal,,20 m²,No,Yes,,,Apartment
No,Yes,,Super equipped,,120 m²,1420 Braine-l'Alleud,2.0,3.0,3.0,3.0,  365 000 €  ,VBC87755,https://immovlan.be/en/detail/apartment/for-sale/1420/braine-l-alleud/vbc87755,Excellent,,3 m²,No,Yes,,Gas,Apartment
,,Yes,,Independent,211 m²,1300 Wavre,1.0,5.0,4.0,1.0,  299 000 €  ,VBC87737,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc87737,To be renovated,530 m²,,No,Yes,690 m²,Fuel oil,Residence
No,,Yes,Partially equipped,,220 m²,1370 Zétrud-Lumay,1.0,4.0,2.0,,  235 000 €  ,VBC87722,https://immovlan.be/en/detail/residence/for-sale/1370/zetrud-lumay/vbc87722,To be renovated,,,,,300 m²,Fuel oil,Residence
No,,Yes,Super equipped,,113 m²,1350 Orp-Jauche,1.0,2.0,2.0,3.0,  299 800 €  ,VBC87638,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-jauche/vbc87638,New,65 m²,,No,Yes,,Gas,Apartment
No,,Yes,Super equipped,,309 m²,1350 Orp-Jauche,2.0,3.0,4.0,2.0,  474 800 €  ,VBC87637,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbc87637,New,298 m²,,No,,3250 m²,,Residence
No,,Yes,Super equipped,,134 m²,1350 Orp-Jauche,1.0,2.0,2.0,3.0,  334 800 €  ,VBC87635,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-jauche/vbc87635,New,347 m²,,No,,,Gas,Apartment
No,,Yes,Super equipped,,134 m²,1350 Orp-Jauche,1.0,2.0,2.0,3.0,  334 800 €  ,VBC87636,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-jauche/vbc87636,New,347 m²,,No,,,Gas,Apartment
No,,Yes,Super equipped,,113 m²,1350 Orp-Jauche,1.0,2.0,2.0,3.0,  299 800 €  ,VBC87634,https://immovlan.be/en/detail/apartment/for-sale/1350/orp-jauche/vbc87634,New,242 m²,,No,Yes,,Gas,Apartment
No,,,Super equipped,,175 m²,1350 Orp-Jauche,2.0,3.0,2.0,3.0,  339 800 €  ,VBC87633,https://immovlan.be/en/detail/duplex/for-sale/1350/orp-jauche/vbc87633,New,,11 m²,No,Yes,,Gas,Duplex
,Yes,Yes,Super equipped,,180 m²,1420 Braine-l'Alleud,2.0,4.0,,,  475 000 €  ,VWD13815,https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vwd13815,,240 m²,,,Yes,,Gas,Residence
No,Yes,Yes,Super equipped,,500 m²,1380 Lasne,4.0,5.0,4.0,1.0,  2 350 000 €  ,VBC87518,https://immovlan.be/en/detail/residence/for-sale/1380/lasne/vbc87518,Excellent,1500 m²,30 m²,Yes,Yes,2440 m²,,Residence
No,Yes,Yes,Super equipped,,500 m²,1380 Lasne,4.0,5.0,4.0,1.0,  2 350 000 €  ,VBC87517,https://immovlan.be/en/detail/residence/for-sale/1380/lasne/vbc87517,Excellent,1500 m²,30 m²,Yes,Yes,2440 m²,,Residence
No,,,Super equipped,,120 m²,1410 Waterloo,1.0,2.0,3.0,2.0,  349 000 €  ,VBC87514,https://immovlan.be/en/detail/duplex/for-sale/1410/waterloo/vbc87514,Normal,,17 m²,No,Yes,,Gas,Duplex
No,Yes,Yes,,Independent,180 m²,1325 Chaumont-Gistoux,1.0,3.0,4.0,1.0,  510 000 €  ,VBC87476,https://immovlan.be/en/detail/villa/for-sale/1325/chaumont-gistoux/vbc87476,To be renovated,2450 m²,25 m²,No,Yes,2620 m²,Fuel oil,Villa
No,Yes,,Fully equipped,Western kitchen,105 m²,1300 Wavre,1.0,2.0,2.0,7.0,  315 000 €  ,VBC87394,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc87394,Excellent,,,No,Yes,,Gas,Apartment
No,,,Super equipped,,86 m²,1400 Nivelles,1.0,2.0,2.0,,  275 000 €  ,VBC87379,https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbc87379,Excellent,,8 m²,No,Yes,,,Apartment
No,,,Super equipped,,305 m²,1410 Waterloo,3.0,4.0,2.0,,  589 000 €  ,VBC87353,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbc87353,,,15 m²,,Yes,,Gas,Residence
,Yes,,,,,1400 Nivelles,,3.0,,, Make offer from 270 000 €  ,VBC87322,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc87322,,,,,,,,Residence
No,Yes,Yes,Super equipped,,131 m²,1410 Waterloo,2.0,3.0,4.0,3.0,  619 200 €  ,VBC87297,https://immovlan.be/en/detail/penthouse/for-sale/1410/waterloo/vbc87297,New,,64 m²,No,Yes,,Gas,Penthouse
No,Yes,Yes,,,78 m²,1400 Nivelles,1.0,2.0,3.0,2.0, Make offer from 189 000 €  ,VBC87294,https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbc87294,Normal,635 m²,,No,,,Gas,Apartment
No,Yes,Yes,,,140 m²,1390 Grez-Doiceau,1.0,3.0,4.0,1.0,  380 000 €  ,VBC87292,https://immovlan.be/en/detail/residence/for-sale/1390/grez-doiceau/vbc87292,To be renovated,1603 m²,,Yes,Yes,1603 m²,Fuel oil,Residence
,,,,,119 m²,1440 Braine-le-Château,,3.0,,, Make offer from 280 000 €  ,VBC87281,https://immovlan.be/en/detail/duplex/for-sale/1440/braine-le-chateau/vbc87281,Normal,,,,Yes,,Gas,Duplex
,,Yes,Super equipped,Western kitchen,1720 m²,1350 Orp-Jauche,1.0,3.0,,,  361 050 €  ,RWC39859,https://immovlan.be/en/detail/villa/for-sale/1350/orp-jauche/rwc39859,Excellent,,,,,,Solar energy,Villa
No,Yes,Yes,Fully equipped,Western kitchen,370 m²,1325 Chaumont-Gistoux,2.0,5.0,4.0,1.0,  1 150 000 €  ,VBC87238,https://immovlan.be/en/detail/residence/for-sale/1325/chaumont-gistoux/vbc87238,Normal,,30 m²,No,Yes,17311 m²,Fuel oil,Residence
No,,,Super equipped,,108 m²,1332 Genval,2.0,2.0,2.0,1.0,  275 000 €  ,VBC87191,https://immovlan.be/en/detail/ground-floor/for-sale/1332/genval/vbc87191,Excellent,,,No,,,Gas,Ground
No,Yes,Yes,Super equipped,,360 m²,1390 Grez-Doiceau,3.0,6.0,4.0,2.0,  1 690 000 €  ,VBC87142,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/vbc87142,Excellent,35 m²,,Yes,Yes,4241 m²,Hot air,Villa
No,Yes,Yes,Super equipped,,360 m²,1325 Chaumont-Gistoux,3.0,6.0,4.0,2.0,  1 690 000 €  ,VBC87141,https://immovlan.be/en/detail/villa/for-sale/1325/chaumont-gistoux/vbc87141,Excellent,35 m²,,Yes,Yes,4241 m²,Hot air,Villa
,Yes,Yes,Super equipped,Western kitchen,964 m²,1370 Jodoigne,,3.0,4.0,,  361 050 €  ,RWC39840,https://immovlan.be/en/detail/villa/for-sale/1370/jodoigne/rwc39840,Excellent,,,,,,Solar energy,Villa
No,Yes,Yes,Partially equipped,Kitchenette,110 m²,1330 Rixensart,1.0,2.0,4.0,,  455 000 €  ,VBC87108,https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbc87108,To renovate,1000 m²,30 m²,No,Yes,1200 m²,Gas,Villa
,Yes,Yes,Super equipped,,170 m²,1341 Céroux-Mousty,1.0,4.0,4.0,1.0,  325 000 €  ,VBC87093,https://immovlan.be/en/detail/residence/for-sale/1341/ceroux-mousty/vbc87093,To be renovated,531 m²,,,,721 m²,,Residence
,Yes,,Super equipped,,75 m²,1340 Ottignies,1.0,2.0,2.0,4.0,  325 000 €  ,VBC87092,https://immovlan.be/en/detail/apartment/for-sale/1340/ottignies/vbc87092,Excellent,,4 m²,,Yes,,Gas,Apartment
,Yes,Yes,Super equipped,Western kitchen,740 m²,1490 Court-Saint-Étienne,,3.0,4.0,,  381 050 €  ,RWC39832,https://immovlan.be/en/detail/villa/for-sale/1490/court-saint-etienne/rwc39832,Excellent,,,,,,Solar energy,Villa
,Yes,Yes,Super equipped,Western kitchen,940 m²,1350 Marilles,1.0,3.0,4.0,,  350 777 €  ,RWC39830,https://immovlan.be/en/detail/villa/for-sale/1350/marilles/rwc39830,Excellent,,,,,,Solar energy,Villa
,Yes,Yes,Super equipped,Western kitchen,400 m²,1300 Wavre,1.0,3.0,4.0,,  386 050 €  ,RWC39829,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/rwc39829,Excellent,,,,,400 m²,Solar energy,Villa
,Yes,Yes,Super equipped,Western kitchen,1005 m²,1390 Grez-Doiceau,1.0,3.0,4.0,,  381 050 €  ,RWC39828,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/rwc39828,Excellent,,,,,,Solar energy,Villa
,Yes,Yes,,,170 m²,1410 Waterloo,1.0,3.0,2.0,, Make offer from 285 000 €  ,VBC86979,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbc86979,To be renovated,,,,Yes,259 m²,Fuel oil,Residence
,,Yes,Super equipped,,100 m²,1410 Waterloo,1.0,1.0,2.0,,  395 000 €  ,VBC86978,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbc86978,Fully renovated,,35 m²,,Yes,229 m²,,Residence
No,Yes,Yes,Super equipped,,270 m²,1300 Wavre,3.0,6.0,2.0,2.0,  690 000 €  ,VBC86923,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc86923,Excellent,800 m²,75 m²,No,Yes,1100 m²,Gas,Residence
No,Yes,Yes,,Independent,148 m²,1350 Jauche,1.0,3.0,3.0,2.0,  225 000 €  ,VBC86890,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbc86890,To be renovated,243 m²,28 m²,No,Yes,371 m²,Not specified,Residence
No,Yes,Yes,,,187 m²,1332 Genval,2.0,4.0,3.0,1.0,  525 000 €  ,VBC86884,https://immovlan.be/en/detail/residence/for-sale/1332/genval/vbc86884,To renovate,987 m²,30 m²,No,Yes,987 m²,Gas,Residence
No,Yes,Yes,,,193 m²,1330 Rixensart,2.0,4.0,4.0,2.0,  495 000 €  ,VBC86883,https://immovlan.be/en/detail/villa/for-sale/1330/rixensart/vbc86883,To renovate,604 m²,30 m²,No,Yes,604 m²,Fuel oil,Villa
No,Yes,Yes,Fully equipped,Western kitchen,165 m²,1330 Rixensart,2.0,4.0,4.0,1.0,  520 000 €  ,VBC86882,https://immovlan.be/en/detail/residence/for-sale/1330/rixensart/vbc86882,To be renovated,900 m²,40 m²,No,Yes,900 m²,Gas,Residence
,Yes,Yes,Super equipped,Western kitchen,165 m²,1300 Wavre,2.0,3.0,4.0,, Make offer from 675 000 €  ,VWD13744,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vwd13744,Excellent,700 m²,,No,Yes,1226 m²,Electricity,Residence
No,Yes,Yes,,Independent,134 m²,1330 Rixensart,2.0,2.0,,2.0,  575 000 €  ,VBB46160,https://immovlan.be/en/detail/apartment/for-sale/1330/rixensart/vbb46160,New,118 m²,13 m²,,Yes,,Hot air,Apartment
,,Yes,Fully equipped,Western kitchen,205 m²,1400 Nivelles,1.0,4.0,2.0,2.0, Make offer from 295 000 €  ,VBC79646,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc79646,Excellent,,,No,,480 m²,Fuel oil,Residence
,Yes,Yes,Fully equipped,,165 m²,1400 Nivelles,1.0,1.0,,,  425 000 €  ,VBB94470,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbb94470,To be renovated,,,No,,362 m²,Gas,Residence
,Yes,,Fully equipped,,91 m²,1480 Tubize,,2.0,,,  284 926 €  ,RWC34892,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/rwc34892,,,,,Yes,,Gas,Apartment
,Yes,,,,91 m²,1480 Tubize,,2.0,,,  281 614 €  ,RWC34890,https://immovlan.be/en/detail/ground-floor/for-sale/1480/tubize/rwc34890,,,,,Yes,,Gas,Ground
,,,,,108 m²,1420 Braine-l'Alleud,1.0,2.0,4.0,,  320 000 €  ,VWD13395,https://immovlan.be/en/detail/duplex/for-sale/1420/braine-l-alleud/vwd13395,Excellent,,,,Yes,,Gas,Duplex
No,Yes,Yes,,,160 m²,1331 Rosières,1.0,4.0,4.0,,  460 000 €  ,VBC69122,https://immovlan.be/en/detail/villa/for-sale/1331/rosieres/vbc69122,Normal,,16 m²,,Yes,948 m²,Gas,Villa
No,Yes,Yes,Super equipped,,220 m²,1370 Jodoigne,1.0,3.0,4.0,,  425 000 €  ,VBC60710,https://immovlan.be/en/detail/residence/for-sale/1370/jodoigne/vbc60710,,,,,,1200 m²,Electricity,Residence
No,Yes,,,,70 m²,1348 Louvain-la-Neuve,1.0,2.0,,3.0,  376 000 €  ,VBC86837,https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbc86837,,,,,Yes,,,Apartment
No,,Yes,Super equipped,,250 m²,1400 Nivelles,2.0,4.0,3.0,2.0,  575 000 €  ,VBC86785,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc86785,Normal,200 m²,20 m²,No,Yes,300 m²,Gas,Residence
,Yes,Yes,,,312 m²,1410 Waterloo,3.0,5.0,4.0,1.0,  849 000 €  ,VBC86415,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbc86415,Normal,500 m²,70 m²,No,Yes,920 m²,Gas,Villa
,Yes,Yes,Fully equipped,Western kitchen,286 m²,1450 Chastre,2.0,5.0,4.0,,  619 000 €  ,VBC83738,https://immovlan.be/en/detail/villa/for-sale/1450/chastre/vbc83738,Normal,,,,Yes,2464 m²,Gas,Villa
,Yes,Yes,,,145 m²,1342 Limelette,1.0,3.0,4.0,2.0, Make offer from 395 000 €  ,VBC82025,https://immovlan.be/en/detail/residence/for-sale/1342/limelette/vbc82025,Normal,814 m²,27 m²,,Yes,974 m²,Fuel oil,Residence
No,Yes,Yes,Super equipped,,150 m²,1342 Limelette,1.0,3.0,3.0,3.0, Make offer from 375 000 €  ,VBC81979,https://immovlan.be/en/detail/residence/for-sale/1342/limelette/vbc81979,Normal,90 m²,48 m²,,Yes,168 m²,Gas,Residence
No,Yes,No,Not equipped,,210 m²,1300 Wavre,,,,,  395 000 €  ,VBC81794,https://immovlan.be/en/detail/residence/for-sale/1300/wavre/vbc81794,,,,,No,320 m²,,Residence
No,Yes,,Not equipped,,90 m²,1348 Louvain-la-Neuve,1.0,2.0,,3.0,  380 000 €  ,VBC44111,https://immovlan.be/en/detail/apartment/for-sale/1348/louvain-la-neuve/vbc44111,,,,,Yes,,,Apartment
No,,No,Partially equipped,,70 m²,1470 Genappe,1.0,1.0,,2.0,  220 000 €  ,VBC81303,https://immovlan.be/en/detail/apartment/for-sale/1470/genappe/vbc81303,Normal,,,,No,,Gas,Apartment
,Yes,,Super equipped,,74 m²,1300 Wavre,1.0,1.0,2.0,9.0, Make offer from 210 000 €  ,VBC81200,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbc81200,Normal,,,No,Yes,,Gas,Apartment
No,Yes,Yes,Super equipped,,223 m²,1400 Nivelles,2.0,3.0,4.0,1.0,  1 385 000 €  ,VBC75514,https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc75514,Excellent,,,Yes,Yes,7200 m²,,Residence
No,Yes,Yes,Fully equipped,Western kitchen,148 m²,1300 Wavre,1.0,4.0,4.0,2.0,  499 000 €  ,VBC72964,https://immovlan.be/en/detail/villa/for-sale/1300/wavre/vbc72964,Excellent,890 m²,80 m²,,Yes,979 m²,Gas,Villa
No,,,,,90 m²,1400 Nivelles,1.0,2.0,2.0,, Make offer from 225 000 €  ,VBC72534,https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbc72534,Normal,,,No,,,Gas,Apartment
No,Yes,Yes,,,157 m²,1330 Rixensart,1.0,2.0,4.0,1.0,  415 000 €  ,VBC72218,https://immovlan.be/en/detail/residence/for-sale/1330/rixensart/vbc72218,To renovate,914 m²,,No,,1074 m²,Fuel oil,Residence
No,,Yes,Super equipped,,261 m²,1410 Waterloo,3.0,4.0,3.0,3.0,  1 100 000 €  ,VBC70416,https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbc70416,Fully renovated,400 m²,,Yes,Yes,540 m²,,Residence
No,,Yes,Fully equipped,Western kitchen,52 m²,1435 Mont-Saint-Guibert,1.0,1.0,4.0,2.0,  230 000 €  ,VBC67690,https://immovlan.be/en/detail/apartment/for-sale/1435/mont-saint-guibert/vbc67690,Excellent,,,No,,,Gas,Apartment
No,,Yes,Super equipped,,420 m²,1430 Quenast,2.0,8.0,4.0,2.0, Make offer from 795 000 €  ,VBC67530,https://immovlan.be/en/detail/residence/for-sale/1430/quenast/vbc67530,To be renovated,,,No,Yes,3500 m²,,Residence
No,Yes,Yes,Super equipped,,248 m²,1470 Genappe,1.0,6.0,4.0,1.0,  695 000 €  ,VBC65522,https://immovlan.be/en/detail/residence/for-sale/1470/genappe/vbc65522,Normal,4746 m²,80 m²,No,Yes,6600 m²,Fuel oil,Residence
No,Yes,Yes,Partially equipped,Kitchenette,193 m²,1357 Hélécine,1.0,4.0,3.0,2.0,  299 000 €  ,VBC54762,https://immovlan.be/en/detail/residence/for-sale/1357/helecine/vbc54762,Normal,603 m²,33 m²,No,Yes,850 m²,Gas,Residence
No,Yes,Yes,,Independent,166 m²,1495 Villers-la-Ville,2.0,4.0,4.0,1.0, Make offer from 305 000 €  ,VBC28086,https://immovlan.be/en/detail/villa/for-sale/1495/villers-la-ville/vbc28086,To be renovated,,52 m²,,Yes,580 m²,Fuel oil,Villa
No,Yes,,,,100 m²,1480 Tubize,1.0,2.0,2.0,5.0,  264 079 €  ,VBC53160,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc53160,New,,14 m²,No,Yes,,Gas,Apartment
No,Yes,,,,73 m²,1480 Tubize,1.0,1.0,2.0,5.0,  226 488 €  ,VBC51705,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc51705,New,,17 m²,No,Yes,,Gas,Apartment
No,Yes,,,,115 m²,1480 Tubize,2.0,3.0,2.0,5.0,  314 139 €  ,VBC51703,https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbc51703,New,,12 m²,No,Yes,,Gas,Apartment
No,,Yes,Super equipped,,135 m²,1480 Tubize,1.0,3.0,2.0,3.0, Make offer from 285 000 €  ,VBC44910,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbc44910,Excellent,80 m²,20 m²,No,Yes,222 m²,Gas,Residence
,Yes,Yes,Super equipped,,83 m²,1325 Chaumont-Gistoux,1.0,2.0,2.0,3.0,  397 000 €  ,VBC44079,https://immovlan.be/en/detail/apartment/for-sale/1325/chaumont-gistoux/vbc44079,New,,19 m²,No,Yes,,Gas,Apartment
